City,Airport Code
Adelaide,ADL
Brisbane,BNE
Cairns,CNS
Darwin,DRW
Gold Coast,OOL
Melbourne,MEL
Perth,PER
Sydney,SYD
Dhaka,DAC
Phnom Penh Techo,KTI
Siem Reap-Angkor,SAI
Ahmedabad,AMD
Bangalore,BLR
Calicut,CCJ
Chennai,MAA
Delhi,DEL
Goa,GOX
Hyderabad,HYD
Jaipur,JAI
Kolkata,CCU
Mumbai,BOM
Navi Mumbai,NMI
Trivandrum,TRV
Denpasar,DPS
Jakarta,CGK
Chubu,NGO
Fukuoka,FUK
Haneda,HND
New Chitose Airport,CTS
Osaka-Kansai,KIX
Tokyo-Narita,NRT
Kota Kinabalu,BKI
Kuala Lumpur,KUL
Kuchung,KCH
Langkawi,LGK
Penang,PEN
Senai,JHB
Auckland,AKL
Christchurch,CHC
Queenstown,ZQN
Wellington,WLG
Islamabad,ISB
Karachi,KHI
Lahore,LHE
Peshawar,PEW
Port Moresby,POM
Manila,MNL
Incheon,ICN
Jeju International Airport,CJU
Seoul,GMP
Male,MLE
Changi,SIN
Colombo,CMB
Chiang Mai,CNX
Chiang Rai International Airport,CEI
Don Mueang,DMK
Hat Yai,HDY
Krabi,KBV
Phuket,HKT
Ko Samui�,USM
Suvarnabhumi,BKK
Utapao,UTP
Hanoi,HAN
Ho Chi Minh,SGN
Graz,GRZ
Innsbruck,INN
Klagenfurt,KLU
Linz,LNZ
Salzburg,SZG
Vienna,VIE
Brussels,BRU
Brussels South Charleroi,CRL
Sofia,SOF
Dubrovnik,DBV
Pula,PUY
Split,SPU
Zadar,ZAD
Zagreb International Airport,ZAG
Larnaca,LCA
Paphos,PFO
Prague,PRG
Billund,BLL
Copenhagen,CPH
V�gar,FAE
Helsinki,HEL
Kittil�,KTT
Rovaniemi,RVN
Annecy,NCY
Basel-Mulhouse-Freiburg,BSL/MLH
Chambery,CMF
Figari,FSC
Lyon,LYS
Nantes,NTE
Nice,NCE
Paris-Ch. De Gaulle,CDG
Paris-Orly,ORY
Berlin - Schonefeld,BER
Bremen,BRE
Cologne,CGN
Dresden,DRS
Duesseldorf,DUS
Erfut,ERF
Frankfurt,FRA
Hamburg,HAM
Hannover,HAJ
Leipzig,LEJ
Memmingen,FMM
Muenster,FMO
Munich,MUC
Nuremberg,NUE
Saarbruecken,SCN
Stuttgart,STR
Aktion,PVK
Athens,ATH
Chania,CHQ
Chios,JKH
Corfu,CFU
Heraklion,HER
Kalamata,KLX
Karpathos,AOK
Kefallinia,EFL
Kithira,KIT
Kos,KGS
Lemnos,LXS
Mikonos,JMK
Paros,PAS
Patras,GPA
Rhodes,RHO
Siteia,JSH
Skiathos,JSI
Thessalonika,SKG
Thira,JTR
Volos,VOL
Zakinthos,ZTH
Ilulissat Airport,JAV
Kangerlussuaq Airport,SFJ
Nuuk Airport,GOH
Budapest,BUD
Akureyri,AEY
Egilsstadir,EGS
Keflavik,KEF
Dublin,DUB
Eilat,ETM
Tel Aviv,TLV
Bari,BRI
Alghero,AHO
Bologna,BLQ
Brindisi,BDS
Cagliari,CAG
Catania,CTA
Florence,FLR
Genova Cristoforo Colombo,GOA
Lamezia Terme,SUF
Lampedusa,LMP
Milan - Linate,LIN
Milan - Malpensa,MXP
Milan - Orio al Serio,BGY
Naples,NAP
Olbia Costa Smeralda,OLB
Palermo,PMO
Pantelleria,PNL
Pisa,PSA
Rimini Federico Fellini,RMI
Rome - Ciampino,CIA
Rome - Fiumicino,FCO
Treviso,TSF
Turin,TRN
Venice,VCE
Verona,VRN
Jersey,JER
Pristina,PRN
Riga,RIX
Vilnius,VNO
Luxembourg,LUX
Luqa,MLA
Amsterdam,AMS
Eindhoven,EIN
Rotterdam,RTM
Skopje,SKP
�lesund,AES
Alta,ALF
Bergen,BGO
Bod�,BOO
Harstad-Narvik,EVE
Haugesund,HAU
Kirkenes,KKN
Kristiansund,KSU
Kristiandsand,KRS
Molde,MOL
